,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
125,FR,MINI Cooper,9180.0,95203 ,2012,,Gasoline,Manual,127 ,- (
126,FR,MINI Cooper D,9290.0,189821 ,2011,,Diesel,Manual,115 ,- (
127,FR,Audi A3,5890.0,162180 ,2004,- hp,Diesel,Automatic,- (,- (
128,FR,Audi A3,6790.0,157555 ,2006,102 hp,Gasoline,Manual,169 ,7.1 
129,FR,Audi A3,6990.0,169000 ,2008,140 hp,Diesel,Manual,148 ,5.5 
130,FR,Audi A3,7400.0,180607 ,2009,105 hp,Diesel,Manual,132 ,5 
131,FR,Audi A3,7700.0,150000 ,2010,140 hp,Diesel,Manual,115 ,4.4 
132,FR,Audi A3,7990.0,70000 ,2006,105 hp,Diesel,Manual,135 ,5.1 
133,FR,Audi A3,7990.0,157000 ,2007,140 hp,Diesel,Manual,146 ,5.5 
134,FR,Audi A3,9499.0,190000 ,2016,110 hp,Diesel,Manual,- (,- (
135,FR,Audi A3,9990.0,40000 ,2007,105 hp,Diesel,Manual,138 ,5.2 
136,FR,Audi A3,11990.0,202000 ,2017,110 hp,Diesel,Manual,99 ,- (
137,FR,Audi A3,12290.0,120000 ,2013,105 hp,Diesel,Manual,99 ,3.8 
138,FR,Audi A3,12500.0,173000 ,2018,116 hp,Diesel,Automatic,102 ,5.1 
139,FR,Audi A3,15470.0,47290 ,2009,160 hp,Gasoline,Automatic,154 ,6.6 
140,FR,Audi A3,16490.0,105000 ,2015,125 hp,Gasoline,Automatic,- (,- (
141,FR,Audi A3,17490.0,111600 ,2017,150 hp,Gasoline,Manual,112 ,4.8 
142,FR,Audi A3,17990.0,87500 ,2014,150 hp,Diesel,Manual,106 ,4.1 
143,FR,Audi A3,18900.0,75705 ,2014,- hp,Gasoline,Automatic,- (,- (
144,FR,Audi A3,19550.0,24277 ,2018,116 hp,Gasoline,Automatic,110 ,4.8 
145,FR,Audi A3,19990.0,54350 ,2016,150 hp,Gasoline,Automatic,114 ,4.9 
146,FR,Audi A3,20000.0,93000 ,2016,110 hp,Diesel,Automatic,- (,- (
147,FR,Audi A3,20825.0,73382 ,2017,150 hp,Diesel,Manual,110 ,4.4 
148,FR,Audi A3,20975.0,14696 ,2018,116 hp,Gasoline,Manual,109 ,4.7 
149,FR,Audi A3,20990.0,35875 ,2018,- hp,Diesel,Manual,- (,- (
150,FR,Audi A3,20990.0,57150 ,2018,150 hp,Diesel,Manual,112 ,4.3 
151,FR,Audi A3,21425.0,47939 ,2018,116 hp,Gasoline,Automatic,110 ,4.8 
152,FR,Audi A3,21525.0,51509 ,2017,150 hp,Diesel,Manual,114 ,5 
153,FR,Audi A3,21625.0,9421 ,2020,116 hp,Gasoline,Manual,117 ,5.1 
154,FR,Audi A3,21990.0,44000 ,2017,116 hp,Gasoline,Automatic,107 ,4.4 
